Entity,Code_x,Year,Indicator:Psychiatrists working in mental health sector (per 100 000 population),Code_y,"Death rate per 100,000 people - Cause: Mental and substance use disorders - Sex: Both sexes - Age_group: YEARS0-4","Death rate per 100,000 people - Cause: Mental and substance use disorders - Sex: Both sexes - Age_group: YEARS5-14","Death rate per 100,000 people - Cause: Mental and substance use disorders - Sex: Both sexes - Age_group: YEARS15-49","Death rate per 100,000 people - Cause: Mental and substance use disorders - Sex: Both sexes - Age_group: YEARS50-69","Death rate per 100,000 people - Cause: Mental and substance use disorders - Sex: Both sexes - Age_group: YEARS70+","Death rate per 100,000 people - Cause: Mental and substance use disorders - Sex: Both sexes - Age_group: ALLAges"
Congo,COG,2016,0.08007,COG,0.0,0.0,2.765234,8.367613,9.920737,2.26
Costa Rica,CRI,2016,3.93107,CRI,0.0,0.13105293,1.5736598,4.544555,10.560373,2.34
Cote d'Ivoire,CIV,2016,0.12982,CIV,0.0,0.00045380896,5.2751822,11.678036,21.511105,3.72
Croatia,HRV,2016,11.09537,HRV,0.0,0.0,3.5835514,16.32421,19.002527,8.74
Cuba,CUB,2016,9.05646,CUB,0.0,0.0,3.037965,16.999935,14.398215,7.12
Dominican Republic,DOM,2016,2.27955,DOM,0.0,0.0,2.6861556,6.0140486,7.5164127,2.62
East Timor,TLS,2016,0.08058,TLS,0.0,0.0,0.59611714,2.1315544,2.9365995,0.6
Ecuador,ECU,2016,0.45836,ECU,0.0,0.0,2.1928341,7.752204,14.993258,2.91
Egypt,EGY,2016,1.59952,EGY,0.0,9.725178e-05,0.30657554,0.57260764,0.5793381,0.26
El Salvador,SLV,2016,0.88713,SLV,0.0,0.0,10.09871,28.197397,33.11458,10.71
Estonia,EST,2016,16.18799,EST,0.0,0.0,23.505085,33.27923,14.516982,20.96
Fiji,FJI,2016,0.22418,FJI,0.0,0.0,0.6159032,1.079422,3.4888792,0.61
Gabon,GAB,2016,0.25904,GAB,0.0,0.0,2.6733947,7.5212774,9.467855,2.4
Gambia,GMB,2016,0.10113,GMB,0.0,0.0,1.7173512,6.6496577,15.632038,1.63
Georgia,GEO,2016,6.70627,GEO,0.0,0.0,3.0739303,5.632547,8.811959,3.4
Ghana,GHA,2016,0.05801,GHA,0.0,0.00013961642,2.8851526,8.20834,21.391865,2.71
Greece,GRC,2016,5.80328,GRC,0.0,0.0,4.6713862,2.5395231,1.5101144,3.01
Grenada,GRD,2016,1.87226,GRD,0.0,0.0,5.082102,9.595581,19.498245,6.07
Guatemala,GTM,2016,0.49223,GTM,0.0,0.0,13.353236,36.378033,31.578503,11.07
Guinea,GIN,2016,0.02481,GIN,0.0,0.0,2.414603,6.5059767,12.168802,1.95
Guyana,GUY,2016,0.91085,GUY,0.0,0.0,2.9988146,4.1783853,4.0839663,2.27
Haiti,HTI,2016,0.07469,HTI,0.0,0.0,5.2193174,16.467901,14.546621,4.86
Hungary,HUN,2016,11.0794,HUN,0.0,0.6598417,3.3679767,13.190207,11.328865,6.52
India,IND,2016,0.29235,IND,0.0,0.000113894246,2.1734653,6.3049016,8.0519905,2.4
Indonesia,IDN,2016,0.30988,IDN,0.0,0.00015218195,0.5336529,1.1971304,1.9361347,0.55
Israel,ISR,2016,9.87036,ISR,0.0,0.06478652,1.6931959,5.0159264,10.114084,2.43
Japan,JPN,2016,11.86717,JPN,0.0,0.00927573,0.6952926,1.987138,4.0792027,1.61
Jordan,JOR,2016,1.12454,JOR,0.0,0.0,0.81693834,3.613454,14.911964,1.12
Kenya,KEN,2016,0.18418,KEN,0.0,7.761703e-05,0.8378034,4.024611,6.8688116,0.8
Kyrgyzstan,KGZ,2016,1.68786,KGZ,0.0,0.0,7.840237,22.733145,20.471918,7.38
Liberia,LBR,2016,0.04445,LBR,0.0,0.0,0.92050076,6.1599627,14.79846,1.28
Lithuania,LTU,2016,18.45203,LTU,0.0,0.0,14.406385,20.120867,6.773971,12.9
Madagascar,MDG,2016,0.05777,MDG,0.0,0.00015056579,0.662367,3.5258553,9.783804,0.81
Malaysia,MYS,2016,1.04807,MYS,0.0,0.00019228116,1.1021703,3.0511968,8.749798,1.44
Mali,MLI,2016,0.02862,MLI,0.0,0.00018395101,1.4406701,4.462103,11.347548,1.13
Mexico,MEX,2016,0.20732,MEX,0.0,0.0370501,2.8446355,8.579344,13.813071,3.42
Mongolia,MNG,2016,4.03107,MNG,0.0,0.0,25.356945,43.011387,9.84974,19.51
Montenegro,MNE,2016,8.27791,MNE,0.0,0.0,2.8792348,6.183808,8.101794,3.69
Morocco,MAR,2016,0.839,MAR,0.0,0.0,1.1366011,1.7825512,7.101142,1.13
Mozambique,MOZ,2016,0.04641,MOZ,0.0,0.00013100039,1.9834622,8.382542,19.555965,1.81
Myanmar,MMR,2016,0.38356,MMR,0.0,0.00010922081,1.2775005,2.9058168,5.1965733,1.3
Namibia,NAM,2016,0.37105,NAM,0.0,0.0,2.804768,8.693876,10.224,2.47
Nepal,NPL,2016,0.35594,NPL,0.0,0.0,0.61326575,2.858347,5.438923,0.87
New Zealand,NZL,2016,28.54027,NZL,0.0,0.0,3.0771377,3.7979462,7.449191,3.07
Niger,NER,2016,0.01397,NER,0.0,0.00032676678,1.0999615,5.7293787,12.419381,1.05
Norway,NOR,2016,48.03998,NOR,0.0,0.0,7.9392624,16.511992,17.277285,9.57
Panama,PAN,2016,4.03099,PAN,0.0,0.0,1.0530142,4.41201,8.484555,1.64
Peru,PER,2016,2.94805,PER,0.0,0.0005121643,2.3501544,6.1818113,10.194415,2.69
Philippines,PHL,2016,0.51811,PHL,0.0,0.03183286,1.2435958,2.3631117,3.9798849,1.08
Poland,POL,2016,24.176,POL,0.0,0.0,7.8531017,25.412493,8.438724,11.53
Qatar,QAT,2016,2.71237,QAT,0.0,0.0,0.6037281,1.5626531,6.8666143,0.62
Romania,ROU,2016,5.66495,ROU,0.0,0.0,2.7507129,8.444905,8.725406,4.39
Rwanda,RWA,2016,0.06019,RWA,0.0,0.0,1.1255227,6.223901,12.024913,1.31
Saint Lucia,LCA,2016,0.56431,LCA,0.0,0.0,5.047701,12.58698,13.2984295,5.75
Samoa,WSM,2016,1.54832,WSM,0.0,0.0,1.5964504,2.8538342,6.1528497,1.34
Sao Tome and Principe,STP,2016,0.51137,STP,0.0,0.0,1.4234062,5.494188,8.764778,1.36
Saudi Arabia,SAU,2016,1.32141,SAU,0.0,0.00034099154,1.4747041,4.039575,17.804575,1.64
Senegal,SEN,2016,0.20031,SEN,0.0,0.00025376622,1.2888125,5.3528485,14.845637,1.29
Seychelles,SYC,2016,2.13352,SYC,0.0,0.0,1.3547903,2.5791981,3.4662044,1.42
Singapore,SGP,2016,4.19131,SGP,0.0,0.0,0.31658673,0.4177125,1.4228199,0.37
Slovenia,SVN,2016,11.95303,SVN,0.0,0.0,5.2917275,35.967663,37.180145,17.0
South Africa,ZAF,2016,1.52104,ZAF,0.0,0.0003901504,3.02992,9.595162,7.8685536,3.19
South Korea,KOR,2016,5.79322,KOR,0.0,0.0,1.3376807,5.244865,3.878706,2.43
South Sudan,SSD,2016,0.02525,SSD,0.0,0.0,0.5219577,2.9143488,16.105846,0.72
Suriname,SUR,2016,1.26535,SUR,0.0,0.0,3.0858686,10.016932,9.431206,3.68
Sweden,SWE,2016,20.86328,SWE,0.0,0.0,7.6479487,11.396577,16.621124,8.55
Syria,SYR,2016,0.36829,SYR,0.0,0.0,1.4434446,3.3478754,14.301908,1.5
Tajikistan,TJK,2016,1.39203,TJK,0.0,0.0,1.724309,4.2296114,5.8770947,1.44
Thailand,THA,2016,0.72097,THA,0.0,0.00024325385,2.19444,1.7995716,3.35074,1.85
Togo,TGO,2016,0.05393,TGO,0.0,0.0,3.3033662,7.5189877,18.049934,2.59
Tonga,TON,2016,2.8205,TON,0.0,0.0,1.1885425,2.811245,6.1875296,1.2
Turkey,TUR,2016,1.63661,TUR,0.0,0.0,1.3703282,1.3956913,6.2893205,1.28
Uganda,UGA,2016,0.0822,UGA,0.0,0.00017137628,1.3474941,5.918173,20.632458,1.09
Ukraine,UKR,2016,6.9305,UKR,0.0,0.0,14.2901745,24.19633,7.410985,13.96
United Arab Emirates,ARE,2016,1.6495,ARE,0.0,0.0,5.1501303,17.924906,19.579163,4.91
United States,USA,2016,10.54202,USA,0.0,0.0,29.086548,33.39136,14.507958,23.44
Uruguay,URY,2016,14.13355,URY,0.0,0.0,1.2936562,9.393847,15.543801,4.18
Uzbekistan,UZB,2016,2.6117,UZB,0.0,0.00017730761,1.252847,2.2025611,3.1482596,1.08
Vanuatu,VUT,2016,0.37792,VUT,0.0,0.0,1.9123921,3.8671257,5.458032,1.44
Yemen,YEM,2016,0.20062,YEM,0.0,0.0,3.452272,3.9908526,5.5280066,2.25
Zambia,ZMB,2016,0.0559,ZMB,0.0,0.00021179015,1.9145309,6.9175053,16.198656,1.5
Zimbabwe,ZWE,2016,0.09507,ZWE,0.0,0.00025931516,2.4876742,5.1422396,6.9957104,1.75
